epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
148,1875.85,0.78852,0.57152,1.06536,0.68326,0.63281,0.67284,0.46776,1.27541,1.25365,1.44929,0.000340438,0.000340438,0.000340438
149,1888.5,0.79982,0.57242,1.07616,0.75669,0.59101,0.67768,0.47342,1.2895,1.22061,1.4431,0.00033425,0.00033425,0.00033425
150,1901.02,0.80616,0.57666,1.06709,0.70843,0.62377,0.67294,0.46932,1.27637,1.21498,1.44508,0.000328063,0.000328063,0.000328063
151,1913.83,0.78967,0.56155,1.06737,0.78757,0.58591,0.67651,0.46929,1.29625,1.24574,1.45271,0.000321875,0.000321875,0.000321875
152,1926.34,0.77433,0.57403,1.06226,0.76713,0.60206,0.67682,0.47419,1.31531,1.24063,1.47471,0.000315687,0.000315687,0.000315687
153,1938.85,0.80973,0.61868,1.08361,0.7514,0.58032,0.6646,0.47718,1.29308,1.2194,1.46064,0.0003095,0.0003095,0.0003095
154,1951.44,0.80504,0.64803,1.07214,0.75654,0.58963,0.66583,0.47211,1.27883,1.25387,1.45472,0.000303313,0.000303313,0.000303313
155,1963.95,0.81625,0.7479,1.08905,0.77869,0.56975,0.67302,0.47941,1.27147,1.21505,1.44756,0.000297125,0.000297125,0.000297125
156,1976.57,0.77439,0.54552,1.05708,0.79059,0.59329,0.67527,0.47975,1.27829,1.21116,1.43682,0.000290937,0.000290937,0.000290937
157,1989.15,0.74094,0.53064,1.04044,0.71902,0.62215,0.67937,0.48157,1.25487,1.25368,1.43719,0.00028475,0.00028475,0.00028475
158,2001.74,0.76629,0.5419,1.08169,0.75282,0.59458,0.67231,0.47695,1.27222,1.23165,1.46273,0.000278562,0.000278562,0.000278562
159,2014.32,0.76128,0.5477,1.06741,0.70119,0.63014,0.67499,0.47398,1.31095,1.27578,1.47678,0.000272375,0.000272375,0.000272375
160,2026.89,0.74859,0.575,1.03483,0.77412,0.59101,0.68194,0.47452,1.31151,1.28377,1.47077,0.000266187,0.000266187,0.000266187
161,2039.4,0.74262,0.53176,1.04001,0.77012,0.58278,0.68314,0.47842,1.29814,1.21291,1.48195,0.00026,0.00026,0.00026
162,2051.92,0.76193,0.55645,1.0518,0.81136,0.57324,0.67691,0.47632,1.30021,1.23377,1.48988,0.000253812,0.000253812,0.000253812
163,2064.47,0.78042,0.56433,1.04943,0.68284,0.64734,0.6837,0.48222,1.29517,1.2482,1.47816,0.000247625,0.000247625,0.000247625
164,2077.11,0.74887,0.54494,1.04967,0.71093,0.63129,0.68347,0.47711,1.29226,1.21832,1.47597,0.000241438,0.000241438,0.000241438
165,2089.6,0.72851,0.5014,1.04089,0.70869,0.61548,0.67552,0.47841,1.30504,1.23313,1.49407,0.00023525,0.00023525,0.00023525
166,2102.16,0.76119,0.54455,1.03584,0.74527,0.5855,0.67346,0.4751,1.28909,1.24727,1.48861,0.000229063,0.000229063,0.000229063
167,2114.78,0.75554,0.52721,1.08285,0.69321,0.61251,0.66888,0.46986,1.2994,1.24052,1.49826,0.000222875,0.000222875,0.000222875
168,2127.25,0.73965,0.53944,1.04784,0.65391,0.64443,0.66866,0.47304,1.29944,1.2396,1.49271,0.000216688,0.000216688,0.000216688
169,2139.68,0.72247,0.51317,1.05193,0.74833,0.59012,0.66869,0.47777,1.30106,1.21599,1.4696,0.0002105,0.0002105,0.0002105
170,2152.28,0.75861,0.53126,1.04823,0.7607,0.58171,0.67231,0.47797,1.2946,1.22993,1.48368,0.000204313,0.000204313,0.000204313
171,2164.82,0.72018,0.51458,1.03994,0.71477,0.59425,0.66759,0.47385,1.28859,1.26406,1.46354,0.000198125,0.000198125,0.000198125
172,2177.39,0.69846,0.48853,1.02819,0.74953,0.57637,0.66839,0.47467,1.29564,1.24342,1.46697,0.000191938,0.000191938,0.000191938
173,2189.94,0.74727,0.51911,1.10602,0.68522,0.61217,0.66827,0.47861,1.28697,1.24041,1.46371,0.00018575,0.00018575,0.00018575
174,2202.53,0.7044,0.50621,1.03033,0.73222,0.60077,0.66732,0.47817,1.28537,1.26765,1.46453,0.000179563,0.000179563,0.000179563
175,2215.11,0.76861,0.5461,1.04888,0.76264,0.58847,0.67895,0.47905,1.29915,1.24946,1.48511,0.000173375,0.000173375,0.000173375
176,2227.64,0.72011,0.6824,1.01619,0.78325,0.58239,0.67926,0.48793,1.27359,1.21319,1.46326,0.000167188,0.000167188,0.000167188
177,2240.29,0.71832,0.50855,1.03039,0.74782,0.59054,0.68219,0.48091,1.27171,1.25417,1.45623,0.000161,0.000161,0.000161
178,2252.89,0.7657,0.63056,1.11253,0.7538,0.5817,0.68289,0.48458,1.26515,1.21856,1.4576,0.000154812,0.000154812,0.000154812
179,2265.52,0.71488,0.50638,1.01892,0.67511,0.64552,0.68382,0.48219,1.28246,1.26551,1.46795,0.000148625,0.000148625,0.000148625
180,2278.06,0.72904,0.5136,1.03312,0.73112,0.61379,0.6791,0.48113,1.27913,1.23171,1.47404,0.000142437,0.000142437,0.000142437
