epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
142,1810.08,0.85886,0.74899,1.12768,0.66949,0.63984,0.66986,0.47059,1.3261,1.23036,1.44979,0.000668375,0.000668375,0.000668375
143,1822.85,0.86114,0.64287,1.11432,0.74183,0.59471,0.67099,0.47639,1.29226,1.24389,1.45771,0.00066425,0.00066425,0.00066425
144,1835.54,0.92675,0.6502,1.21066,0.75402,0.60459,0.67666,0.48479,1.29907,1.18859,1.45303,0.000660125,0.000660125,0.000660125
145,1848.53,0.84674,0.61283,1.10721,0.72537,0.61445,0.67518,0.4693,1.33574,1.23722,1.48682,0.000656,0.000656,0.000656
146,1861.75,0.83639,0.60685,1.10492,0.68396,0.65225,0.69111,0.49283,1.29198,1.19248,1.44834,0.000651875,0.000651875,0.000651875
147,1874.59,0.82912,0.62219,1.08979,0.76126,0.60523,0.67673,0.46974,1.33162,1.26708,1.46962,0.00064775,0.00064775,0.00064775
148,1887.46,0.83241,0.60929,1.08898,0.7252,0.62289,0.68167,0.47231,1.29384,1.19737,1.45919,0.000643625,0.000643625,0.000643625
149,1900.18,0.83334,0.61574,1.09491,0.67468,0.62272,0.6741,0.47299,1.31552,1.19913,1.47845,0.0006395,0.0006395,0.0006395
150,1913.03,0.8445,0.62601,1.08894,0.73134,0.60269,0.67958,0.48093,1.30198,1.26276,1.46605,0.000635375,0.000635375,0.000635375
151,1925.86,0.84412,0.59629,1.09554,0.71379,0.6103,0.67259,0.47868,1.29429,1.19992,1.44721,0.00063125,0.00063125,0.00063125
152,1938.77,0.83176,0.61345,1.09927,0.73401,0.59297,0.68351,0.47669,1.32779,1.27455,1.51797,0.000627125,0.000627125,0.000627125
153,1951.67,0.85261,0.65351,1.10401,0.76312,0.57357,0.67482,0.48062,1.26815,1.16069,1.44703,0.000623,0.000623,0.000623
154,1964.44,0.85829,0.64481,1.10668,0.69998,0.63061,0.68647,0.48142,1.2868,1.21868,1.46339,0.000618875,0.000618875,0.000618875
155,1977.17,0.86965,0.77423,1.11559,0.7053,0.60283,0.6729,0.48545,1.27793,1.20452,1.45132,0.00061475,0.00061475,0.00061475
156,1989.91,0.81601,0.58988,1.08002,0.70882,0.61148,0.67239,0.48065,1.2831,1.24763,1.44504,0.000610625,0.000610625,0.000610625
157,2002.51,0.79693,0.5694,1.07181,0.80095,0.57928,0.68734,0.4858,1.2672,1.24124,1.45061,0.0006065,0.0006065,0.0006065
158,2015.16,0.8167,0.58345,1.11859,0.78488,0.57647,0.66996,0.47789,1.31016,1.26445,1.48861,0.000602375,0.000602375,0.000602375
159,2027.81,0.80751,0.58781,1.08583,0.7677,0.56749,0.66391,0.46544,1.31485,1.26686,1.48733,0.00059825,0.00059825,0.00059825
160,2040.39,0.78905,0.64221,1.05435,0.75363,0.57643,0.66899,0.4712,1.32625,1.29763,1.50117,0.000594125,0.000594125,0.000594125
161,2053.06,0.80646,0.58246,1.0766,0.73449,0.58017,0.66406,0.47228,1.29637,1.2251,1.46271,0.00059,0.00059,0.00059
